RESULT,T11,T12,T13,T14,T15,T16,T17,T18,T19,T110,T111,T112,T113,T14,T15,T21,T22,T23,T24,T25,T26,T27,T28,T29,T210,T211,T212,"T213,T214",T215 
Victory,Tortoise,Char Futur 4,AMX 65 t,Centurion Mk. 7/1,Rheinmetall Skorpion,T34,TS-5,TS-5,AMX 50 100,T92,Bat.-Châtillon 12 t,Rheinmetall Skorpion G,AE Phase I,UDES 16,Löwe,Cobra,Kampfpanzer 07 RH,Rheinmetall Skorpion,T30,Cz20_ShPTK_TVP_100_mm,Löwe,AE Phase I,Rhm.-Borsig Waffenträger,HWK 30,Char Futur 4,Bisonte C45,IS-3A,LT-432,KV-4,M46 Patton
Victory,Jagdpanzer E 100,E 100,Object 430U,Kranvagn,Progetto M40 mod. 65,60TP Lewandowskiego,CS-63,Strv 103B,FV4005 Stage II,Object 277,Bat.-Châtillon 25 t,Object 140,T110E3,G.W. E 100,AMX 13 105,Progetto M40 mod. 65,Vz. 55,T110E4,Leopard 1,E 100,AMX 13 105,Bat.-Châtillon 155 58,M48A5 Patton,AMX 50 Foch (155),STB-1,Kranvagn,Object 140,Grille 15,FV4005 Stage II,Type 5 Heavy
Victory,T110E5,Object 277,Object 430U,E 100,Bat.-Châtillon 25 t,Object 268,XM551 Sheridan,TVP T 50/51,T-100 LT,Manticore,IS-4,T110E4,Object 261,Grille 15,Leopard 1,T110E3,E 100,FV4005 Stage II,TVP T 50/51,XM551 Sheridan,TVP T 50/51,Super Conqueror,E 100,Grille 15,Object 277,Conqueror Gun Carriage,Leopard 1,WZ-132-1,Manticore,UDES 15/16
Victory,Leopard 1,Kranvagn,E 100,UDES 15/16,T95/FV4201 Chieftain,E 100,AMX M4 mle. 54,STB-1,STB-1,Panhard EBR 105,FV215b,Object 268 Version 4,Object 430U,Leopard 1,FV4005 Stage II,Leopard 1,Object 260,Kranvagn,STB-1,Progetto M40 mod. 65,FV217 Badger,E 100,Leopard 1,E 100,Object 430U,Jagdpanzer E 100,Vz. 55,60TP Lewandowskiego,T95/FV4201 Chieftain,Panhard EBR 105
Victory,AMBT,KV-5,T26E5,Super Hellcat,Pawlack Tank,M-II-Y,Tiger I,M44,M4A3E8 Thunderbolt VII,T71 CMCD,E 25,VK 30.02 (D),AT 8,M4A3E8 Fury,Strv 74,Type 59,Škoda T 56,E 25,AMX 65 t,Cromwell,Tiger I,FV304,VK 36.01 (H),Ikv 65 Alt II,CS-44,Cromwell,Tiger I,T-34-1,T78,AMX 13 75
Victory,Super Hellcat,King Tiger,G.W. Panther,M44,SU-8,Tiger I,Tiger I,KV-2,"VK 28.01 mit 10,5 cm L/28",SU-100Y,T25/2,T20,KV-1S,M18 Hellcat,T37,SU-152,KV-3,T29,M18 Hellcat,M44,SU-100,IS-2,M44,Nashorn,G.W. Panther,"VK 28.01 mit 10,5 cm L/28",AMX 12 t,Leo,Tiger I,T-150
Victory,M54 Renegade,GSOR 1008,T28 Prototype,TS-5,FV4202,ELC EVEN 90,SU-14-2,WZ-120-1G FT,Object 252U Defender,Rhm.-Borsig Waffenträger,IS-6,T42,Bat.-Châtillon Bourrasque,Rheinmetall Skorpion G,UDES 14 Alt 5,WZ-120-1G FT,SU-130PM,122 TM,122 TM,M-III-Y,T-103,Ferdinand,M40/M43,Tiger II,Bofors Tornvagn,"8,8 cm Pak 43 Jagdtiger",Lansen C,M41 Walker Bulldog,Cz20_ShPTK_TVP_100_mm,FV4202
Victory,SU-152,Sturer Emil,SU-100,AMX 13 F3 AM,Cromwell B,T29,VK 30.02 (M),FV304,Super Hellcat,A-43,Comet,VK 30.02 (M),Tiger I,T-150,Nashorn,AMX 13 F3 AM,Strv m/42-57 Alt A.2,KV-3,M36 Jackson,SU-8,Black Prince,Cromwell B,Sturer Emil,M18 Hellcat,Carro d'assalto P.88,SU-100,ARL 44,Ikv 90 Typ B,Super Hellcat,40TP Habicha
Victory,WZ-120,Cz20_ShPTK_TVP_100_mm,AMX 50 Foch (155),E 75,Waffenträger auf Pz. IV,Centurion Mk. 7/1,Char Futur 4,Škoda T 56,TS-5,T92 HMC,T-54,AMX M4 mle. 49,Cz20_ShPTK_TVP_100_mm,FV4202,Kranvagn,Kranvagn,Cobra,Strv 103-0,Object 430,Cz20_ShPTK_TVP_100_mm,IS-3,E 50,Object 261,E 75,SU-130PM,AMX M4 mle. 49 Liberté,FV4005 Stage II,Prototipo Standard B,Progetto M35 mod 46,T-103
Defeat,E 100,Object 140,Emil II,AMX 50 Foch B,Conqueror,Rhm.-Borsig Waffenträger,Char Futur 4,Panhard EBR 75 (FL 10),FV1066 Senlac,UDES 16,Object 430,Rheinmetall Skorpion G,Rheinmetall Skorpion,Ferdinand,Emil I,Оbject 279,Char Futur 4,Leopard 1,FV215b (183),T54E1,Rheinmetall Skorpion,M103,Strv 103-0,SU-130PM,Panhard AML Lynx 6x6,Caliban,ELC EVEN 90,T26E4 SuperPershing,Emil II,Rheinmetall Skorpion
Victory,Type 64,T29,M4A3E8 Thunderbolt VII,M4A1 FL 10,Tiger I,M18 Hellcat,AMX 13 F3 AM,Achilles,VK 30.01 (P),45TP Habicha,VK 30.02 (M),AMX 12 t,KV-2,M4A3E8 Sherman,SU-100,SU-100,Tiger (P),T-150,T29,Škoda T 40,Type 64,T-50-2,Ikv 65 Alt II,P.43 bis,T29,Škoda T 25,M4A3E2 Sherman Jumbo,M18 Hellcat,M44,KV-1S
Victory,Type 64,VK 36.01 (H),M44,M18 Hellcat,T29,E 25,Tiger I,Vz. 44-1,Lorraine 155 mle. 50,КВ-2 (Р),Škoda T 25,Super Hellcat,M4A3E2 Sherman Jumbo,VK 30.02 (M),"VK 28.01 mit 10,5 cm L/28",B.U.G.I.,VK 36.01 (H),Tiger I,KV-2,Super Hellcat,M44,Škoda T 25,M56 Scorpion,T-34-85M,VK 30.01 (P),Crusader 5.5-in. SP,Type 64,Strv 74,T29,T25 AT
Victory,Black Prince,AMX M4 mle. 45,T25/2,Cromwell,Ikv 65 Alt II,VK 36.01 (H),ARL V39,VK 36.01 (H),M44,KV-85,ARL 44,M12,Dicker Max,M18 Hellcat,M56 Scorpion,SU-122-44,KV-2,A-43,SU-8,Tiger I,Cromwell B,AT 15A,O-I,AMX M4 mle. 45,M12,M18 Hellcat,M18 Hellcat,Jagdpanzer IV,KV-85,SU-100Y
Victory,T-100 LT,Leopard 1,Progetto M40 mod. 65,TVP T 50/51,Vz. 55,Оbject 279,Object 430U,Grille 15,IS-7,Object 260,Object 261,Type 5 Heavy,T110E4,STB-1,Grille 15,Leopard 1,T110E4,T110E3,Vz. 55,T95/FV4201 Chieftain,Type 5 Heavy,Object 261,STB-1,Progetto M40 mod. 65,Object 277,XM551 Sheridan,STB-1,Grille 15,E 100,E 50 Ausf. M
Victory,AMBT,T95,T95,T95,E 75,Объект 274а,P.44 Pantera,Bisonte C45,Mäuschen,Somua SM,Tiger II,Cz20_ShPTK_TVP_100_mm,WZ-120-1G FT,ELC EVEN 90,Rheinmetall Skorpion,Type 61,Kampfpanzer 50 t,Cz20_ShPTK_TVP_100_mm,Объект 274а,ISU-152,T30,Emil I,WZ-120-1G FT,Object 252U,Emil II,Object 703 II,IS-3,Strv 103-0,TS-5,ELC EVEN 90
Victory,STB-1,FV217 Badger,212A,Bat.-Châtillon Bourrasque,Rheinmetall Skorpion G,Strv 103-0,T-54 ltwt.,LTTB,Progetto CC55 mod. 54,Tiger II,T32,M-VI-Y,Char Futur 4,Caernarvon,SU-130PM,Strv 103B,Bat.-Châtillon Bourrasque,Bat.-Châtillon 25 t,ISU-152K,Škoda T 56,Tiger II,Tiger II,CS-59,Waffenträger auf Pz. IV,UDES 03,Progetto C50 mod. 66,ELC EVEN 90,M53/M55,T49,Löwe
Victory,Turtle Mk. I,Progetto CC55 mod. 54,Rheinmetall Skorpion G,T28 Prototype,ELC EVEN 90,Rheinmetall Skorpion,Tiger II,T32,Škoda T 27,STG Guard,TNH 105/1000,ISU-152,Rheinmetall Skorpion,P.44 Pantera,Indien-Panzer,GSOR 1008,Charioteer,Rheinmetall Skorpion G,Tiger II,Rheinmetall Skorpion,M54 Renegade,Chrysler K,T28 Prototype,WZ-111 Alpine Tiger,STG Guard,Объект 274а,STA-2,Škoda T 27,T34,T92
Defeat,Rinoceronte,Grille 15,Grille 15,STB-1,E 100,FV4005 Stage II,Conqueror Gun Carriage,E 100,Vz. 55,IS-7,Leopard 1,Vz. 55,Object 430U,IS-4,Object 140,E 100,STB-1,Rinoceronte,Vz. 55,STB-1,T110E4,Object 261,E 100,121B,E 100,121B,FV4005 Stage II,FV215b,Grille 15,Object 268
Victory,Bat.-Châtillon 12 t,Type 5 Heavy,Strv 103B,Pz.Kpfw. VII,Škoda T 50,Bat.-Châtillon 155 58,Somua SM,AMX AC mle. 48,Cz20_ShPTK_TVP_100_mm,WZ-120-1G FT,Prototipo Standard B,Tiger II,GSOR3301 AVR FS,Jagdtiger,Rheinmetall Skorpion G,Type 61,SU-130PM,FV4004 Conway,FV4005 Stage II,Super Conqueror,Object 261,Maus,AT 15,ISU-152,T26E5,AMX 50 120,AMX 13 90,Cz20_ShPTK_TVP_100_mm,Lorraine 40 t,HWK 12
Victory,Grille 15,Leopard 1,IS-4,T95,Waffenträger auf Pz. IV,AMX 50 Foch (155),Rhm.-Borsig Waffenträger,Char Futur 4,Rheinmetall Skorpion,212A,SU-130PM,M41 Walker Bulldog,Jagdpanther II,Progetto CC55 mod. 54,T-44-100,Object 704,SU-130PM,Vz. 55,Cz20_ShPTK_TVP_100_mm,STB-1,Prototipo Standard B,FV4005 Stage II,SU-130PM,212A,LHMTV,Panzer 58 Mutz,Waffenträger auf Pz. IV,T110E4,IS-M,Rheinmetall Skorpion G
Victory,M24E2 Super Chaffee,KV-2,Ikv 65 Alt II,105 leFH18B2,Hummel,Churchill I,Pudel,VK 16.02 Leopard,M4A3E8 Thunderbolt VII,Strv m/42,VK 30.01 (H),Pz.Kpfw. T 25,Valiant,Bishop,"VK 28.01 mit 10,5 cm L/28",M4A3E8 Sherman,Excalibur,M44,Cromwell B,M24E2 Super Chaffee,T-34,AMX ELC bis,M41 HMC,Churchill I,Churchill III,T37,Sherman III,VK 30.02 (M),Grille,Strv m/42
Victory,Grille 15,E 75,Vz. 55,STB-1,ELC EVEN 90,Lorraine 155 mle. 51,T110E4,Rheinmetall Skorpion G,Bat.-Châtillon Bourrasque,Progetto C50 mod. 66,Bisonte C45,T95,WZ-111-1G FT,TNH T Vz. 51,Progetto C50 mod. 66,Object 268,T110E5,Emil II,T-103,Centurion Mk. 7/1,Object 777 Version II,M40/M43,Strv 103B,Rhm.-Borsig Waffenträger,Progetto C50 mod. 66,К-91-ПТ,EMIL 1951,LT-432,Progetto M40 mod. 65,VK 168.01 (P)
Victory,STB-1,AMX 50 B,E 100,FV215b (183),Оbject 279,IS-7,Vz. 55,TVP T 50/51,TVP T 50/51,FV4005 Stage II,Progetto M40 mod. 65,UDES 15/16,Bat.-Châtillon 155 58,Grille 15,Grille 15,Object 430U,TVP T 50/51,Object 268,Kranvagn,Progetto M40 mod. 65,Leopard 1,Leopard 1,M-V-Y,WZ-111 model 5A,Object 268,IS-4,Bat.-Châtillon 155 58,T110E4,FV4005 Stage II,IS-7
Victory,AMX 13 90,Škoda T 56,AMX Canon d'assaut 105,Kunze Panzer,M26 Pershing,AMX M4 mle. 49 Liberté,IS-2-II,G.W. Tiger (P),SU-130PM,AE Phase I,M54 Renegade,Type 4 Heavy,T69,WZ-120-1G FT,ELC EVEN 90,SU-130PM,M54 Renegade,T-103,Object 703 II,M40/M43,Centurion Mk. 7/1,Emil I,Progetto CC55 mod. 54,UDES 16,IS-3-II,T49,ELC EVEN 90,Cz20_ShPTK_TVP_100_mm,Tiger II,T-44-100
Victory,Leopard 1,STB-1,VK 45.02 (P) Ausf. B,60TP Lewandowskiego,Progetto M35 mod 46,E 75,AMX M4 mle. 49 Liberté,Panhard EBR 105,T28,Bat.-Châtillon 12 t,Emil II,Object 430,Rheinmetall Skorpion,Bat.-Châtillon Bourrasque,Conqueror,Leopard Prototyp A,Object 703 II,Rheinmetall Skorpion,VK 45.02 (P) Ausf. B,Object 705A,STB-1,LT-432,Cz20_ShPTK_TVP_100_mm,Panhard EBR 105,AE Phase I,CS-53,E 75,E 50 Ausf. M,TNH T Vz. 51,P.44 Pantera
Victory,T-50-2,P.43 bis,Achilles,M12,T29,T-150,T-34-1,VK 36.01 (H),T-34-85M,T20,G.W. Panther,VK 30.01 (P),M36 Jackson,Crusader,G.W. Panther,O-I,Crusader 5.5-in. SP,T78,T-50-2,Vz. 44-1,G.W. Panther,M12,Škoda T 25,AT 8,Crusader,T29,M4A1 FL 10,P.43 bis,VK 30.02 (D),O-I
Victory,Bisonte C45,Leopard Prototyp A,Tortoise,G.W. Tiger,Strv S1,FV3805,Tiger II,T-103,IS-M,ELC EVEN 90,Bat.-Châtillon Bourrasque,leKpz M 41 90 mm,Tiger II,M-IV-Y,IS-3,122 TM,Caliban,Char Futur 4,ELC EVEN 90,Bat.-Châtillon 155 55,Jagdtiger,Bisonte C45,IS-3,FV3805,TS-5,Strv S1,Tiger II,M41 Walker Bulldog,AMX 50 100,VK 100.01 (P)
Victory,Progetto M35 mod 46,M-II-Y,M40/M43,Bisonte C45,ISU-122S,Jagdpanzer IV,Cz20_ShPTK_TVP_100_mm,Panther,Super Hellcat,Churchill VII,M18 Hellcat,Excalibur,T-50-2,Tiger (P),T-34-85,Type 59,G.W. Tiger (P),Jagdpanther,Progetto CC55 mod. 54,E 25,Tiger I,M-II-Y,40TP Habicha,SU-100Y,T-34-85M,Ferdinand,Nashorn,Super Hellcat,Panhard AMD 178B,KV-2
Victory,E 75,E 100,T95,M54 Renegade,Cz20_ShPTK_TVP_100_mm,T30,M48A5 Patton,T110E4,50TP prototyp,Emil I,M26 Pershing,Strv K,Object 261,Panther II,Strv S1,Maus,T110E4,T-54,TNH T Vz. 51,Rheinmetall Skorpion,T30,CS-52,T-103,G.W. E 100,FV4004 Conway,Škoda T 56,VK 100.01 (P),Progetto CC55 mod. 54,STB-1,M54 Renegade
Victory,T-34-1,Škoda T 56,ISU-152K,ASTRON Rex 105 mm,Tiger II,T29,Rheinmetall Skorpion G,IS,ELC EVEN 90,AMX 13 57 GF,Type 5 Chi-Ri,M56 Scorpion,T20,T29,G.W. Panther,T-103,Bofors Tornvagn,ELC EVEN 90,T29,G.W. Panther,Emil I,Rheinmetall Skorpion G,45TP Habicha,Progetto M35 mod 46,P.43 ter,M-II-Y,Tiger I,T-34-1,Krupp-Steyr Waffenträger,WZ-131
Victory,ELC EVEN 90,Conqueror,TS-5,Rheinmetall Skorpion G,VK 45.02 (P) Ausf. B,Cobra,Löwe,G.W. Tiger,M40/M43,Rhm.-Borsig Waffenträger,Progetto C50 mod. 66,Panzer 58 Mutz,Cz20_ShPTK_TVP_100_mm,AMX 13 90,Leopard Prototyp A,M53/M55,WZ-120-1G FT,Leopard Prototyp A,ST-I,T-54 ltwt.,Emil II,AE Phase I,Strv 103-0,T34,M40/M43,Kampfpanzer 07 RH,Rheinmetall Skorpion G,P.44 Pantera,M41 Walker Bulldog,Rheinmetall Skorpion
Victory,Marder 38T,105 leFH18B2,Pz.Kpfw. T 25,105 leFH18B2,T1 Heavy Tank,VK 16.02 Leopard,T6 Medium,T6 Medium,Pz.Kpfw. III Ausf. J,T-28,Cruiser Mk. IV,AMX 40,14TP,M8A1,Pz.Kpfw. II Luchs,КВ-1 screened,T40,Pz.Kpfw. 38 (t) n.A.,105 leFH18B2,Cruiser Mk. IV,T-34,14TP,Pz.Kpfw. II Luchs,T-28,M5A1 Stuart,Bishop,T6 Medium,Matilda,M24 Chaffee,T-28
Defeat,Kranvagn,114 SP2,Grille 15,IS-7,60TP Lewandowskiego,AMX 50 Foch (155),Vz. 55,Leopard 1,WZ-132-1,Object 277,T92 HMC,Object 430U,Panhard EBR 105,WZ-111 model 5A,FV4005 Stage II,Leopard 1,Centurion Action X,Rinoceronte,T-100 LT,STB-1,IS-7,T95/FV4201 Chieftain,AMX 50 Foch (155),60TP Lewandowskiego,Vz. 55,Jagdpanzer E 100,T-62A,Bat.-Châtillon 155 58,Panhard EBR 105,Grille 15
Victory,AMX 30 1er prototype,T77,Object 703 II,Type 61,Cz20_ShPTK_TVP_100_mm,Emil II,E 75,Lorraine 155 mle. 51,Panther II,Centurion Mk. I,Panhard EBR 90,Char Futur 4,Jagdtiger,Bat.-Châtillon 12 t,TS-5,Kampfpanzer 50 t,Char Futur 4,KV-5,Waffenträger auf Pz. IV,50TP prototyp,Kunze Panzer,Löwe,G.W. Tiger (P),Rheinmetall Skorpion,Emil II,T-103,Progetto C50 mod. 66,Progetto M35 mod 46,ELC EVEN 90,Panhard EBR 90
Victory,Rinoceronte,114 SP2,Leopard 1,Object 430U,T110E4,Progetto M40 mod. 65,STB-1,Object 277,STB-1,Progetto M40 mod. 65,XM551 Sheridan,AMX 50 Foch (155),T-100 LT,Jagdpanzer E 100,Jagdpanzer E 100,Progetto M40 mod. 65,AMX 50 B,AMX 50 Foch (155),Vz. 55,FV4005 Stage II,AMX 50 Foch (155),Object 430U,STB-1,TVP T 50/51,Strv 103B,M48A5 Patton,AMX 13 105,121B,AMX 50 Foch (155),T-100 LT
Victory,Оbject 279,T30,IS-7,Centurion Action X,Bat.-Châtillon Bourrasque,122 TM,Concept 1B,T-10,Type 61,Rhm.-Borsig Waffenträger,Cobra,T28 Prototype,Somua SM,T49,T26E5 Patriot,STB-1,Concept 1B,VK 72.01 (K),T30,T-103,UDES 03,122 TM,Emil II,Vz. 55,Leopard Prototyp A,Type 59,Spähpanzer Ru 251,Char Futur 4,VK 75.01 (K),IS-3
Victory,AMX M4 mle. 51,M103,Bat.-Châtillon Bourrasque,M41D,T34,Progetto M35 mod 46,T-44,Kunze Panzer,Type 4 Heavy,Cz20_ShPTK_TVP_100_mm,T30,Char Futur 4,Waffenträger auf Pz. IV,Strv S1,T28 Prototype,Jagdtiger,AE Phase I,Prototipo Standard B,Bofors Tornvagn,Char Futur 4,Tiger II,Rheinmetall Skorpion G,Indien-Panzer,VK 45.02 (P) Ausf. B,К-91-ПТ,FV1066 Senlac,Progetto M35 mod 46,Charioteer,Waffenträger auf Pz. IV,CS-53
Draw,Škoda T 25,SU-152,Tiger I,M18 Hellcat,T-34-85M,AMX AC mle. 46,M44,T-150,59-16,T-150,T71 CMCD,Škoda T 25,Cromwell,Type 4 Chi-To,Nashorn,T25 AT,KV-2,SU-100Y,Škoda T 25,КВ-2 (Р),M44,45TP Habicha,Strv m/42-57 Alt A.2,Excalibur,Sherman VC Firefly,M18 Hellcat,VK 36.01 (H),T71 CMCD,T-43,MT-25
Victory,E 100,Object 430U,T95/FV4201 Chieftain,T30,Progetto C50 mod. 66,Object 140,Waffenträger auf Pz. IV,Char Futur 4,Grille 15,T57 Heavy Tank,T110E4,Bat.-Châtillon 25 t AP,Cobra,AE Phase I,Object 705,E 50 Ausf. M,Cobra,Object 140,E 100,E 75,Waffenträger auf Pz. IV,Char Futur 4,TNH T Vz. 51,FV215b,Progetto C50 mod. 66,Rinoceronte,T110E4,Škoda T 50,Grille 15,T30
Victory,Kampfpanzer 07 RH,Concept 1B,50TP prototyp,Char Futur 4,Rheinmetall Skorpion,Conqueror,Rheinmetall Skorpion,Char Futur 4,T-44-100,Progetto M35 mod 46,T-103,Bat.-Châtillon Bourrasque,AMX M4 mle. 49,M26 Pershing,IS-3,Rheinmetall Skorpion,Conqueror,T-10,Cz20_ShPTK_TVP_100_mm,FV4202,SU-101,IS-2-II,P.44 Pantera,Char Futur 4,M46 Patton,122 TM,Löwe,Bat.-Châtillon Bourrasque,CS-52,KV-4
Victory,Bat.-Châtillon 25 t,Super Conqueror,FV215b (183),T110E4,STB-1,AMX 50 Foch (155),Object 261,T110E4,IS-7,E 100,T-100 LT,Object 268 Version V,Object 430U,121B,IS-4,121,E 100,AMX 50 Foch (155),Super Conqueror,T110E4,Object 430U,Vz. 55,STB-1,E 100,FV217 Badger,Jagdpanzer E 100,Bat.-Châtillon 155 58,XM551 Sheridan,Grille 15,TVP T 50/51
Victory,AMX 50 Foch B,Leopard 1,Progetto M40 mod. 65,T110E5,Strv 103B,Object 705A,E 100,Object 140,XM551 Sheridan,T-100 LT,Jagdpanzer E 100,Object 268 Version 4,IS-7,FV4005 Stage II,FV4005 Stage II,Jagdpanzer E 100,FV4005 Stage II,Grille 15,XM551 Sheridan,Progetto M40 mod. 65,STB-1,FV215b,FV4005 Stage II,AMX 30 B,AMX 50 Foch (155),Object 277,FV217 Badger,Pz.Kpfw. VII,E 100,T-100 LT
Victory,T-28E with F-30,VK 36.01 (H),Pz.Kpfw. III/IV,VK 30.02 (M),M10 RBFM,105 leFH18B2,Nashorn,BDR G1 B,Pz.Kpfw. II Luchs,Pz.Kpfw. III Ausf. J,T1 Heavy Tank,M10 Wolverine,M8A1,Somua SAu 40,StuG III Ausf. B,SU-76G FT,VK 30.01 (H),M18 Hellcat,B.U.G.I.,SU-85B,KV-220-2,Jagdpanzer 38(t) Hetzer,Bishop,T-28E with F-30,KV-1S,T1 Heavy Tank,Matilda,Valiant,Sav m/43,StuG IV
Victory,Cobra,FV4005 Stage II,Object 140,Object 705A,SU-130PM,Tiger II,Cobra,Waffenträger auf Pz. IV,T-54 first prototype,Rheinmetall Skorpion G,Cz20_ShPTK_TVP_100_mm,M53/M55,Tiger II,Object 268,Škoda T 56,E 100,ISU-152K,Rheinmetall Skorpion G,Škoda T 56,STB-1,FV215b (183),Cobra,Cz20_ShPTK_TVP_100_mm,T32,Bat.-Châtillon 155 55,UDES 03,IS-3-II,Object 430,TVP VTU Koncept,Grille 15
Victory,E 75 TS,SU-130PM,Waffenträger auf Pz. IV,Leopard 1,Leopard 1,Caliban,Cz20_ShPTK_TVP_100_mm,M53/M55,Object 261,WZ-132-1,AE Phase I,T-10,Bat.-Châtillon Bourrasque,T-44,M41 Walker Bulldog,121B,AMX 13 105,Bat.-Châtillon Bourrasque,Leopard 1,TNH 105/1000,Object 261,T-10,Tiger II,212A,Strv 103-0,STA-1,T30,T32,T92,Charioteer
Victory,Tortoise,122 TM,KV-5,KV-3,Object 257,Progetto M35 mod 46,T28,Progetto M35 mod 46,T25/2,Spähpanzer SP I C,P.43 ter,T49,Cz20_ShPTK_TVP_100_mm,T29,Challenger,T49,Progetto M35 mod 46,AltProto AMX 30,Strv S1,Progetto M35 mod 46,ISU-152K,T95,Type 5 Chi-Ri,M-II-Y,AMX M4 mle. 51,Super Hellcat,LTG,KV-3,IS-3A,T25/2
Defeat,Caliban,Tiger II,leKpz M 41 90 mm GF,T-103,Progetto CC55 mod. 54,SU-130PM,SU-130PM,Bat.-Châtillon Bourrasque,T-34-3,Chrysler K,T69,T28 Prototype,Emil I,T26E4 SuperPershing,Type 59,Škoda T 56,Bat.-Châtillon Bourrasque,Bisonte C45,Lansen C,UDES 03,Charioteer,T-34-2,122 TM,SU-130PM,M-IV-Y,T26E4 SuperPershing,ELC EVEN 90,Löwe,Škoda T 56,T-103
Victory,VK 75.01 (K),WZ-120-1G FT,Škoda T 56,M44,Black Prince,T37,Cz20_ShPTK_TVP_100_mm,M44,AMX 13 F3 AM,T25/2,Leo,40TP Habicha,"VK 28.01 mit 10,5 cm L/28",E 25,Tiger 131,Strv S1,"VK 28.01 mit 10,5 cm L/28",TNH 105/1000,T29,M44,E 25,M44,Ikv 65 Alt II,M44,Konštrukta T-34/100,T-34-85,Tiger (P),ISU-152K,T-50-2,IS-6 B
Defeat,Vz. 55,Progetto M40 mod. 65,Object 268,Grille 15,T95/FV4201 Chieftain,Panhard EBR 105,114 SP2,Conqueror Gun Carriage,T-100 LT,Bat.-Châtillon 25 t,Object 430U,Object 705A,FV215b (183),Bat.-Châtillon 155 58,WZ-111 model 5A,Object 268 Version 4,Maus,XM551 Sheridan,E 100,G.W. E 100,Progetto M40 mod. 65,M48A5 Patton,Strv 103B,IS-7,Object 268,Object 430U,Panhard EBR 105,Leopard 1,T92 HMC,FV4005 Stage II
Victory,UDES 15/16,T95/FV4201 Chieftain,E 100,T110E4,Progetto M40 mod. 65,121B,Strv 103B,Kranvagn,Object 140,Leopard 1,AMX M4 mle. 54,Kranvagn,Manticore,Panhard EBR 105,E 100,Object 260,Leopard 1,AMX 50 B,Object 430U,114 SP2,Kranvagn,Kranvagn,60TP Lewandowskiego,Panhard EBR 105,STB-1,Strv 103B,XM551 Sheridan,E 50 Ausf. M,Bat.-Châtillon 25 t,E 100
Defeat,T71,Caliban,ELC EVEN 90,Chrysler K GF,Super Hellcat,45TP Habicha,WZ-111 Alpine Tiger,T25/2,M12,Rhm.-Borsig Waffenträger,M-II-Y,Tiger I,IS,E 25,Type 5 Chi-Ri,E 75 TS,P.44 Pantera,Rhm.-Borsig Waffenträger,45TP Habicha,Škoda T 56,IS,KV-3,E 25,T28 Concept,T25/2,G.W. Panther,WZ-131,Tiger (P),Tiger I,ELC EVEN 90
Victory,CS-52,Charlemagne,Rheinmetall Skorpion,Škoda T 25,E 25,AMX 65 t,Jagdpanther,Tiger I,T28 Concept,FV304,Heavy Tank No. VI,KV-2,T37,"VK 28.01 mit 10,5 cm L/28",T-34-85M,Caliban,T29,Chrysler K GF,E 25,Object 244,Super Hellcat,SU-130PM,SU-8,Pudel,T-34-85M,T69,T-50-2,Ikv 90 Typ B,Cromwell,VK 28.01
Victory,T-103,Cz20_ShPTK_TVP_100_mm,Bat.-Châtillon Bourrasque,GSOR 1008,Panther II,Škoda T 56,AltProto AMX 30,Rhm.-Borsig Waffenträger,ELC EVEN 90,Progetto M35 mod 46,Panhard AML Lynx 6x6,53TP Markowskiego,T26E5 Patriot,Škoda T 56,Kanonenjagdpanzer 105,Škoda T 56,T28 Prototype,Rhm.-Borsig Waffenträger,Bat.-Châtillon Bourrasque,Tiger II,Škoda T 56,Progetto M35 mod 46,Panhard EBR 75 (FL 10),IS-6 B,Tiger II,ISU-152K,UDES 03,Cz20_ShPTK_TVP_100_mm,T-103,LT-432
Victory,T26E5 Patriot,Tiger I,Rheinmetall Skorpion,T-34-85M,P.43 bis,T-150,Progetto M35 mod 46,M18 Hellcat,E 25,AMX 13 F3 AM,WZ-120-1G FT,AMX 12 t,M24E2 Super Chaffee,SU-100Y,Type 5 Chi-Ri,53TP Markowskiego,TL-1 LPC,"VK 28.01 mit 10,5 cm L/28",SU-130PM,M56 Scorpion,T78,Cz20_ShPTK_TVP_100_mm,T37,P.43 ter,KV-85,Super Hellcat,M44,Ikv 65 Alt II,VK 30.02 (M),Strv 74
Victory,Super Hellcat,Vz. 44-1,Tiger I,Tiger I,T20,SU-100,O-I,Type 64,P.43 bis,M6,M4A3E8 Sherman,SU-122-44,Cromwell B,Panhard AMD 178B,T29,T29,Tiger I,Tiger I,Cromwell B,40TP Habicha,Super Hellcat,Type 4 Chi-To,SU-152,P.43 bis,T29,VK 36.01 (H),Panhard AMD 178B,Type 64,Type 5 Chi-Ri,Pawlack Tank
Victory,Churchill III,SU-85I,SU-85B,Pz.Kpfw. V/IV,M10 RBFM,14TP,B1,P26/40,Churchill I,StuG III Ausf. B,StuG III Ausf. B,T6 Medium,AMX 40,Pz.Kpfw. IV Ausf. H,StuG III Ausf. B,StuG III Ausf. G,Excelsior,Churchill I,KV-220-2,StuG III Ausf. B,StuG III Ausf. B,Pz.Kpfw. III Ausf. J,SU-76G FT,M5A1 Stuart,Matilda,VK 30.01 (H),M8A1,Pz.Kpfw. IV Ausf. H,Pz.Kpfw. II Luchs,SU-76M
